"locationTags.href","locationTags.text"
"https://www.tripadvisor.in/Attraction_Review-g1994835-d1994795-Reviews-Menezes_Braganza_House-Chandor_Goa.html","Menezes Braganza House"
"https://www.tripadvisor.in/Attraction_Review-g1584785-d2625888-Reviews-Shri_Naguesh_Temple-Ponda_Goa.html","Shri Naguesh Temple"
"https://www.tripadvisor.in/Attraction_Review-g297606-d1645632-Reviews-Goa_Chitra-Salcette_District_Goa.html","Goa - Chitra"
"https://www.tripadvisor.in/Attraction_Review-g303877-d6104868-Reviews-Panaji_State_Central_Library-Panaji_Goa.html","Panaji State Central Library"
"https://www.tripadvisor.in/Attraction_Review-g3136739-d8704502-Reviews-Museum_of_Goa-Saligao_Bardez_Goa.html","Museum of Goa"
"https://www.tripadvisor.in/Attraction_Review-g297605-d4401032-Reviews-The_Cabo_Palace-Candolim_Bardez_Goa.html","The Cabo Palace"
"https://www.tripadvisor.in/Attraction_Review-g303877-d3202883-Reviews-Fort_Terekhol-Panaji_Goa.html","Fort Terekhol"
"https://www.tripadvisor.in/Attraction_Review-g303877-d3258270-Reviews-Sunaparanta_Goa_Centre_for_the_Arts-Panaji_Goa.html","Sunaparanta, Goa Centre for the Arts"
"https://www.tripadvisor.in/Attractions-g297604-Activities-c40-t260-Goa.html","Yoga & Pilates (24)"
"https://www.tripadvisor.in/Attraction_Review-g2307943-d3912976-Reviews-Paliem_Lake-Arambol_Goa.html","Paliem Lake"
"https://www.tripadvisor.in/Attraction_Review-g306996-d4138910-Reviews-The_Mallikarjun_Temple-Canacona_Goa.html","The Mallikarjun Temple"
"https://www.tripadvisor.in/Attraction_Review-g303877-d7854887-Reviews-Mahalaxmi_Temple-Panaji_Goa.html","Mahalaxmi Temple"
"https://www.tripadvisor.in/Attraction_Review-g775971-d7346408-Reviews-Champions_Beach_Club-Cavelossim_Goa.html","Champions Beach Club"
"https://www.tripadvisor.in/Attraction_Review-g303877-d482986-Reviews-Bhagwan_Mahavir_Wildlife_Sanctuary-Panaji_Goa.html","Bhagwan Mahavir Wildlife Sanctuary"
